unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
54957c4cd17cf109a2f37f718be656419d033ccb,21221680ca949bb8f8c0679b952f111ce5a561b7a800e87e48cda658b38a5b107e3bad9278239d6994fd0a3cb6fc599818ebf19f562d20bf9a89902f723e1f56,2014-07-13 03:15:00.000000 UTC,2014-07-13 03:15:00.000000 UTC,0,0.0,,,,,11.15,5.0,0.0,0.0,16.15,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
b2b10bb416b57efb9285ad185ad3f8d6493c537a,59776c7d4fffccbb5e3e57311102839eac758066b3202b8858dad387769f68985dfcdf9d189b066c6b49089ef65412dceeca975f65b8688612b88731a11c2b71,2014-01-25 11:45:00.000000 UTC,2014-01-25 11:45:00.000000 UTC,0,0.0,,,,,3.25,0.0,0.0,0.0,3.25,Cash,,,,,,,
3791d63a9480cee4f2b27e1f3910f45ae41a9a40,199f852b9b7f49df5426c931ac14b4e746e6f946021af3cc5a3c021f3965b6cd07193886f2ecb39be823fa33247c18b4bc662005409bc8c171330c512b8d953d,2017-05-09 23:15:00.000000 UTC,2017-05-09 23:15:00.000000 UTC,0,0.0,,,,,19.75,2.96,0.0,0.0,22.71,Credit Card,Suburban Dispatch LLC,,,,,,
50c7fa2cb100444f84effffba8006b7e38fa3143,851a46407c712a156d2b18a2e82702e7378942c3451ec2f6491668bcb9065ddb122a0ba0274a527801b680336cf6783451406a94ff65423f3a141f80374df956,2013-12-18 17:15:00.000000 UTC,2013-12-18 17:30:00.000000 UTC,960,1.8,,,,,9.05,0.0,0.0,0.0,9.05,Cash,,,,,,,
1956536720a462ad2b825aab27097c959b94ce64,b5c4dfe366c83cef5604db1afcfbc15c8c38eeefd896b983d753e1f34c5ee9b457726f981f51742c163d2d83fb38f8a42ab0f96e635fad96ee2ec0e12d138fd8,2017-06-23 22:00:00.000000 UTC,2017-06-23 22:15:00.000000 UTC,660,0.0,,,,,9.0,0.0,0.0,0.0,9.0,Cash,Blue Ribbon Taxi Association Inc.,,,,,,
9ef6381c9c906ba1bb015a414ba60b9f4af6dac1,d29be1977dea099d42a304421bf3dde8586b9a01bf96a4cbff8722a9dbab1bdbfba5eebc9933d81100778f0c015cf12ad1ddbf38ce54e2d9efed55e0914330ac,2013-04-17 19:00:00.000000 UTC,2013-04-17 19:00:00.000000 UTC,,0.0,,,,,48.0,0.0,0.0,0.0,48.0,Credit Card,Chicago Elite Cab Corp.,,,,,,
c57540e1b2f402e7944381e41300f1793bb49110,efce437d4bc2a79b12ac131e37789da8fe5e53f37d12c205d6beed3f20ff20126bf94a53a209b4e893fe8805f3ceab5ad0430f095400d88dd8c1ef247f78d782,2017-06-22 09:45:00.000000 UTC,2017-06-22 10:15:00.000000 UTC,2220,11.4,,,,,32.75,7.75,0.0,5.5,46.5,Credit Card,Medallion Leasin,,,,,,
80947cf397c3aa4b3f927479c65c358f970ddff0,b103a8eb64ada2139668ccbde9c39af73dcf878f25f561ba9083df7a8fca1d452c98c397a36b0cd9674dd379c941af62805958c033ace9cace6a7dbeb1094432,2016-06-11 09:15:00.000000 UTC,2016-06-11 09:30:00.000000 UTC,660,5.6,,,,,16.5,0.0,0.0,0.0,16.5,Cash,Sun Taxi,,,,,,
1685d9cf98927eec5a7f82bb47a6f4c91f9bbaca,800514cef2fedac7b982b2ba503909e4d30295b46723c36c54ff17f88090bada9f62e90c7e8825fa792ebfdac83cb19e66e8b2bc21ed7e643f45b3db82b2c94f,2013-06-15 20:15:00.000000 UTC,2013-06-15 20:15:00.000000 UTC,540,1.8,,,,,7.25,0.0,0.0,0.0,7.25,Cash,,,,,,,
86093aa422f1c39f4d1f4564b78120acd6260a3d,606c0afda95a807ccd4e9fbc33dd6705bc10cdb402ce013392c9c7d2adf1f566bba0ef5b31f0518f593edc179c642b98dea146592d43f4d15475156072792d8a,2014-01-29 19:45:00.000000 UTC,2014-01-29 20:30:00.000000 UTC,2520,0.0,,,,,34.65,7.3,0.0,2.0,43.95,Credit Card,Choice Taxi Association,,,,,,
